date,EQ_LARGE_close,EQ_TECH_close,CMD_GOLD_close,VIX_PROXY,RATE_10Y,CREDIT_SPREAD
2001-01-01,100.33165596,100.12395522,98.76556486,10.10320828,3.0,0.63599517
2001-01-02,99.76009907,99.90920509,99.19604564,9.5906482,2.95946331,0.7228966
2001-01-03,98.88174593,96.3275661,95.56834896,14.26312447,2.95034813,0.88077753
2001-01-04,98.55283725,92.21699611,94.3040729,12.22752124,2.90320177,0.7612521
2001-01-05,96.79378537,88.88468375,97.2770464,17.86581721,2.90122413,1.0477096
2001-01-08,97.02624432,89.25649558,93.79514151,18.27805929,2.92065836,1.05112856
2001-01-09,95.9241124,91.09739985,95.59986583,18.04771856,2.96818171,0.97746362
2001-01-10,95.83794938,92.02701707,99.78452122,15.86378501,2.94825269,1.01843637
2001-01-11,94.90743899,90.60697031,102.45429725,14.20154277,2.9571072,0.91417841
2001-01-12,94.18837008,89.60338976,106.29411567,13.97538819,2.96031343,0.86183314
2001-01-15,93.54661507,88.42275061,107.36546026,12.57816489,2.95372844,0.698234
2001-01-16,95.36724416,91.45380721,107.58477859,28.35492399,2.98697546,1.53583022
2001-01-17,93.41112454,89.58940763,102.27663551,31.31831938,2.96458732,1.61101161
2001-01-18,92.11088645,87.29000526,102.80217658,29.56912278,2.9754329,1.5820755
2001-01-19,90.50844622,85.36783676,102.63180691,28.07662815,3.01548323,1.51163227
2001-01-22,90.67862122,84.77010758,102.42463797,28.42847113,3.03057576,1.43455493
2001-01-23,88.04734833,82.824332,99.46876387,32.29415168,2.98470073,1.69921008
2001-01-24,88.02087479,82.63374012,99.2920224,20.93275546,2.97574376,1.15148813
2001-01-25,87.56467261,81.45678876,100.97312498,20.7225196,2.99437008,1.11385396
2001-01-26,87.16779569,81.04446663,100.43194716,18.31461679,2.99221957,1.08246787
2001-01-29,86.41829339,80.4594542,102.12405496,16.0117314,2.97363961,0.93523364
2001-01-30,86.42661672,80.50607489,101.16535823,15.52145091,2.95693655,0.98559423
2001-01-31,87.42380596,81.21820661,101.78093971,17.67966798,2.93104103,1.04539219
2001-02-01,87.33831784,81.14734524,103.28256678,15.7748797,2.95767418,0.87568056
2001-02-02,88.05492469,81.75967292,104.14074265,15.02775582,2.93882875,0.90960605
2001-02-05,87.20165596,81.38346508,104.58022534,14.57439507,2.9560339,0.83477477
2001-02-06,87.83227314,81.44411844,104.75890069,16.07050378,2.97082717,0.96855019
2001-02-07,87.67976623,81.3322173,103.74959072,13.85599463,3.0043907,0.84799677
2001-02-08,87.66288718,81.50486202,102.58894873,12.26927647,3.0579532,0.83633242
2001-02-09,87.9313219,81.89079172,105.08897234,11.44494084,3.04345799,0.72804968
2001-02-12,87.65427788,81.97160478,104.90378065,11.40356971,3.00580749,0.67832819
2001-02-13,87.23541009,80.7871743,100.95840757,11.36311267,3.00436634,0.71280206
2001-02-14,87.98665559,81.5955645,101.25637794,11.23520926,3.05044676,0.69059525
2001-02-15,87.34322645,81.20820165,99.93629003,10.61656944,3.06634163,0.58984042
2001-02-16,88.51018069,82.97547122,99.37241586,13.33884676,3.05998071,0.77969713
2001-02-19,88.59454601,82.50762921,99.07787746,12.27075643,3.11029577,0.83866809
2001-02-20,88.24903744,81.96909635,96.35822211,12.33569468,3.11367385,0.70540745
2001-02-21,88.41754634,82.01108209,96.10598004,10.81052653,3.1116575,0.73354051
2001-02-22,88.03903004,82.39603781,96.71240164,10.81949607,3.17481066,0.67631801
2001-02-23,87.8180094,82.07296901,96.35923272,8.33750953,3.15226435,0.6277408
2001-02-26,87.3710999,81.89391863,98.49918138,9.23054197,3.14803044,0.64659742
2001-02-27,86.78865959,81.53984741,101.44643685,10.16781367,3.17814765,0.66540924
2001-02-28,86.12496744,81.47984719,99.72100627,8.99518262,3.17352277,0.54761084
2001-03-01,86.02433833,81.1477492,97.56488816,8.0,3.17326867,0.52430716
2001-03-02,85.73650171,81.0163472,97.13544809,8.0,3.17721436,0.54862848
2001-03-05,85.7109595,81.19718143,100.19473947,8.0,3.16008563,0.67831651
2001-03-06,84.90628332,80.82305251,101.13799681,8.0,3.14284503,0.66489048
2001-03-07,86.3709392,82.10446123,100.21818862,15.94465623,3.18636332,0.86743671
2001-03-08,85.59279779,81.95236797,101.71821045,13.64850207,3.19177632,0.84161771
2001-03-09,85.37407291,81.26588289,99.47808183,13.69999058,3.13673857,0.76446173
2001-03-12,84.85382481,80.9275969,100.02465823,12.69743511,3.14054911,0.77618665
2001-03-13,85.43966389,81.58541701,97.09202969,13.16227095,3.11232023,0.89254656
2001-03-14,84.69699774,82.03640818,96.37553518,12.66372853,3.08636867,0.84139492
2001-03-15,85.416763,82.08534914,98.5537856,13.31582055,3.13331277,0.84072798
2001-03-16,85.06735943,81.50286107,98.02972291,12.65441126,3.1565878,0.7032904
2001-03-19,85.09528555,81.26910451,96.48942801,10.25945756,3.16541113,0.6423438
2001-03-20,84.97071323,80.87982066,97.52405867,9.72498685,3.16420404,0.60696634
2001-03-21,85.02945181,81.30502092,96.02693945,9.05138621,3.12776794,0.74137956
2001-03-22,85.01829679,81.72563401,93.54033078,8.64401131,3.11623785,0.6082051
2001-03-23,84.61200919,81.6059525,92.11582491,8.018765,3.12847062,0.64726583
2001-03-26,85.75500036,82.43957091,92.89616402,11.41324683,3.14389994,0.75619058
2001-03-27,84.79255001,81.28803267,90.61374189,14.26770318,3.08400189,0.85884507
2001-03-28,85.78647853,80.89260343,92.01890102,14.93124527,3.06722288,0.86505111
2001-03-29,85.12131525,80.95242022,93.1427351,14.64724879,3.05248836,0.95766164
2001-03-30,85.08665427,80.89102125,91.34913289,13.53437285,3.06523298,0.82750442
2001-04-02,84.58472004,80.47689214,90.26285635,12.57910864,3.03613733,0.81313804
2001-04-03,84.78148622,80.56136267,89.1911418,12.47745958,3.03040619,0.79040816
2001-04-04,83.90792103,79.90539255,86.94804169,12.02601425,2.97615015,0.72697264
2001-04-05,83.82251523,79.67539709,86.37857714,10.23822534,2.9404949,0.7193391
2001-04-06,84.00691112,79.87862457,86.21046833,10.68073942,2.94236206,0.660866
2001-04-09,84.21767982,80.19459254,85.28570989,10.11217545,2.95071086,0.6876851
2001-04-10,84.58516869,80.93254684,86.76882034,9.99821158,2.95238558,0.62483951
2001-04-11,84.84536058,80.57865128,85.10990741,9.1255038,2.94250336,0.53853128
2001-04-12,85.8424524,81.37396984,85.02484527,10.46110528,2.89675405,0.74883868
2001-04-13,86.50061546,81.61368631,85.16598252,11.25869537,2.87580416,0.7754621
2001-04-16,86.75651136,81.4406593,83.14061424,8.63048039,2.86590723,0.61886737
2001-04-17,86.41264258,80.84727685,80.00545711,9.02301015,2.85378151,0.54672762
2001-04-18,86.90085965,80.20583168,80.17967014,9.46075234,2.83773344,0.59013266
2001-04-19,87.10929437,80.69779565,79.33853627,8.0,2.85588541,0.60054649
2001-04-20,87.25229182,81.35035971,79.24360979,8.2688118,2.83766912,0.52369482
2001-04-23,87.87986143,81.32944934,78.20648977,8.0,2.83030309,0.73237746
2001-04-24,88.19174488,81.42337131,79.80653665,8.0,2.83579619,0.53237763
2001-04-25,87.82012985,81.35055714,80.05238249,8.0,2.85589984,0.55954643
2001-04-26,88.36692811,81.58974054,79.64631437,8.0,2.88396441,0.64787654
2001-04-27,89.26796886,82.30594635,78.60857197,8.0,2.84181511,0.63135256
2001-04-30,89.68964962,82.3778784,78.58558766,8.0,2.87034433,0.61548849
2001-05-01,89.50504761,81.86347228,80.03383612,8.12154487,2.87918768,0.63058676
2001-05-02,88.62216007,80.73920953,79.45529242,11.01585864,2.89380642,0.77046621
2001-05-03,88.50180121,80.47945327,80.94001271,9.68288647,2.91252016,0.66922063
2001-05-04,88.87497024,81.0955166,78.56122367,8.43211844,2.88768187,0.58484704
2001-05-07,87.89143921,80.35183709,77.31581668,11.08610988,2.88661801,0.71759418
2001-05-08,88.08691436,80.9904467,80.03553313,9.31657965,2.94345483,0.6591271
2001-05-09,88.16492799,80.21985797,80.72911991,11.0827002,3.00710959,0.74502202
2001-05-10,87.85326627,79.66704065,78.34622003,8.7917855,2.9298189,0.67641692
